销售日期,店风格,店名,店性质,品类描述,品牌描述,所属大区,所属小区,销售额,毛利,毛利率(%)
2017-9-27,时尚馆,成都店,自有店,儿童服装,PAW IN PAW,中西区,西南,1155,231,20
2017-9-27,时尚馆,成都店,自有店,儿童服装,PAW IN PAW,中西区,西南,1324,265,20.02
2017-9-27,时尚馆,成都店,自有店,儿童服装,PAW IN PAW,中西区,西南,1391,139,9.99
2017-9-27,生活馆,武汉百货,自有店,儿童饰物,PAW IN PAW,中西区,华中,1644,394,23.97
2017-9-27,生活馆,北京一期（百货）,自有店,婴儿用品,O.C.T.MAMI(十月妈咪),北方区,华北,3366,101,3
2017-9-27,生活馆,天新百店,自有店,运动服装及用品,NEW BALANCE(新百伦),北方区,华北,1570,231,14.71
2017-9-27,生活馆,北京一期（百货）,自有店,运动服装及用品,NEW BALANCE(新百伦),北方区,华北,1145,289,25.24
2017-9-27,生活馆,北利莹百_,自有店,运动服装及用品,NEW BALANCE(新百伦),北方区,华北,7439,180,2.42
2017-9-27,时尚馆,上淮海店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,3736,504,13.49
2017-9-27,时尚馆,上虹口店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,1247,162,12.99
2017-9-27,时尚馆,上长宁店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,5682,653,11.49
2017-9-27,生活馆,上五角场店,管理店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,8241,906,10.99
2017-9-27,生活馆,上浦建店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,7244,869,12
2017-9-27,生活馆,上宝山店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,4060,527,12.98
2017-9-27,生活馆,上成山店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,1643,295,17.95
2017-9-27,生活馆,武汉百货,自有店,钟表,ZIPPO(之宝),中西区,华中,2154,603,27.99
2017-9-27,生活馆,北京一期（百货）,自有店,家庭用品,SINOMAX(丝露梦),北方区,华北,2089,674,32.26
2017-9-27,生活馆,北利莹百_,自有店,家庭用品,SINOMAX(丝露梦),北方区,华北,1142,334,29.25
2017-9-27,生活馆,哈尔滨百货,自有店,床上用品,SINOMAX(丝露梦),北方区,东北,1859,102,5.49
2017-9-27,时尚馆,上虹口店,自有店,床上用品,SINOMAX(丝露梦),东南区,上海,2199,709,32.24
2017-9-27,生活馆,上五角场店,管理店,床上用品,SINOMAX(丝露梦),东南区,上海,2999,960,32.01
2017-9-27,时尚馆,武淮美店,自有店,床上用品,SINOMAX(丝露梦),中西区,华中,3979,107,2.69
2017-9-26,时尚馆,成都店,自有店,女士轻便服装,WHO.A.U,中西区,西南,4411,882,20
2017-9-26,时尚馆,成都店,自有店,女士轻便服装,WHO.A.U,中西区,西南,2815,563,20
2017-9-26,时尚馆,成都店,自有店,女士轻便服装,WHO.A.U,中西区,西南,1563,813,52.02
2017-9-26,生活馆,北京一期（百货）,自有店,女士上班服装,X.ZHINING,北方区,华北,2244,701,31.24
2017-9-26,时尚馆,重庆店,自有店,女士上班服装,WHO.A.U,中西区,西南,8179,122,1.49
2017-9-26,时尚馆,重庆店,自有店,女士上班服装,WHO.A.U,中西区,西南,4895,734,14.99
2017-9-26,生活馆,上宝山店,自有店,女士成熟服装,O.C.T.MAMI(十月妈咪),东南区,上海,1021,286,28.01
2017-9-26,生活馆,天新百店,自有店,女士_衣,O.C.T.MAMI(十月妈咪),北方区,华北,4739,123,2.6
2017-9-26,生活馆,武汉百货,自有店,女士_衣,O.C.T.MAMI(十月妈咪),中西区,华中,1899,550,28.96
2017-9-26,生活馆,北京二期（百货）,自有店,女士手袋及皮件,LESPORTSAC,北方区,华北,7649,187,2.44
2017-9-26,生活馆,北京二期（百货）,自有店,女士手袋及皮件,LESPORTSAC,北方区,华北,3219,692,21.5
2017-9-26,生活馆,天新百店,自有店,女士皮鞋,HANG TEN,北方区,华北,3199,800,25.01
2017-9-26,生活馆,北京一期（百货）,自有店,女士皮鞋,HANG TEN,北方区,华北,2542,705,27.73
2017-9-26,生活馆,北京二期（百货）,自有店,女士皮鞋,HANG TEN,北方区,华北,6528,148,2.27
2017-9-26,时尚馆,北彩旋店.,自有店,女士皮鞋,HANG TEN,北方区,华北,2313,630,27.24
2017-9-26,生活馆,北利莹百_,自有店,女士皮鞋,HANG TEN,北方区,华北,2858,721,25.23
2017-9-26,时尚馆,上长宁店,自有店,女士皮鞋,HANG TEN,东南区,上海,3291,724,22
2017-9-26,生活馆,上浦建店,自有店,男士轻便服装,RACB JJQN,东南区,上海,1084,325,29.98
2017-9-26,生活馆,上成山店,自有店,男士轻便服装,RACB JJQN,东南区,上海,4999,130,2.6
2017-9-26,生活馆,哈尔滨百货,自有店,男士配饰,ZIPPO(之宝),北方区,东北,6179,174,2.82
2017-9-26,生活馆,哈尔滨百货,自有店,男士配饰,ZIPPO(之宝),北方区,东北,1779,800,44.97
2017-9-26,生活馆,沈津桥店.,自有店,男士配饰,ZIPPO(之宝),北方区,东北,1659,674,40.63
2017-9-26,生活馆,天新百店,自有店,男士配饰,ZIPPO(之宝),北方区,华北,2461,640,26.01
2017-9-26,生活馆,北京一期（百货）,自有店,男士配饰,ZIPPO(之宝),北方区,华北,7135,226,3.17
2017-9-26,生活馆,北利莹百_,自有店,男士配饰,ZIPPO(之宝),北方区,华北,7079,212,2.99
2017-9-26,时尚馆,上虹口店,自有店,男士配饰,ZIPPO(之宝),东南区,上海,7599,197,2.59
2017-9-26,生活馆,上浦建店,自有店,男士配饰,ZIPPO(之宝),东南区,上海,5159,141,2.73
2017-9-26,生活馆,上宝山店,自有店,男士配饰,ZIPPO(之宝),东南区,上海,3798,104,2.74
2017-9-26,时尚馆,武淮美店,自有店,男士配饰,ZIPPO(之宝),中西区,华中,7839,219,2.79
2017-9-26,生活馆,武汉阳店,自有店,男士配饰,ZIPPO(之宝),中西区,华中,1325,361,27.25
2017-9-26,生活馆,郑州店,自有店,男士配饰,ZIPPO(之宝),中西区,中南,999,205,20.52
2017-9-26,时尚馆,昆明店,自有店,男士配饰,ZIPPO(之宝),中西区,西南,4869,122,2.51
2017-9-26,时尚馆,重庆店,自有店,男士配饰,ZIPPO(之宝),中西区,西南,3485,958,27.49
2017-9-26,时尚馆,成都店,自有店,男士配饰,ZIPPO(之宝),中西区,西南,6259,162,2.59
2017-9-26,生活馆,上成山店,自有店,男士皮鞋,HANG TEN,东南区,上海,8549,230,2.69
2017-9-26,生活馆,沈津桥店.,自有店,儿童服装,PAW IN PAW,北方区,东北,5939,950,16
2017-9-26,生活馆,沈津桥店.,自有店,儿童服装,PAW IN PAW,北方区,东北,5959,536,8.99
2017-9-26,生活馆,沈津桥店.,自有店,儿童服装,PAW IN PAW,北方区,东北,1589,174,10.95
